HeightRank,Name,Classification(DoBIH codes),Completed,Completed Date,Height(ft),Height(m),URL,OS Grid Reference,Planned,Priority,Prom.(ft),Prom.(m),Section,Topo Map,X,Y,Latitude,Longitude
199,Fellbarrow,"4,W,B,Sy,Fel",,,"1,365",416,https://en.wikipedia.org/wiki/Fellbarrow,NY1320024200,,,169,52,Western Fells,89,313200,524200,54.605481,-3.3452808
200,Grange Fell [Brund Fell],"4,W,B,Sy,Fel",,,"1,365",416,https://en.wikipedia.org/wiki/Grange_FellÊ[Brund Fell],NY2640016200,,,125,38,Central Fells,89 90,326400,516200,54.535699,-3.1389719
201,Helm Crag,"4,W,B,Sy,Fel",,,"1,329",405,https://en.wikipedia.org/wiki/Helm_Crag,NY3260009300,,,230,70,Central Fells,90,332600,509300,54.474564,-3.0415931
202,Silver How,"3,W,B,Sy,Fel",,,"1,296",395,https://en.wikipedia.org/wiki/Silver_How,NY3240006600,,,102,31,Central Fells,90,332400,506600,54.450277,-3.0440609
203,Hallin Fell,"Ma,3,W,B,Sy,Fel",,,"1,273",388,https://en.wikipedia.org/wiki/Hallin_Fell,NY4330019800,,,535,163,Far Eastern Fells,90,343300,519800,54.570225,-2.8785233
204,Walla Crag,"W,B,Sy,Fel",,,"1,243",379,https://en.wikipedia.org/wiki/Walla_Crag,NY2760021200,,,79,24,Central Fells,89 90,327600,521200,54.580798,-3.121663
205,Ling Fell,"3,sHu,W,B,Sy,Fel",,,"1,224",373,https://en.wikipedia.org/wiki/Ling_Fell,NY1790028500,,,318,97,North Western Fells,89 90,317900,528500,54.644901,-3.2737466
206,Latrigg,"3,W,B,Sy,Fel",,,"1,207",368,https://en.wikipedia.org/wiki/Latrigg,NY2790024700,,,240,73,Northern Fells,89 90,327900,524700,54.612288,-3.1178838
207,Troutbeck Tongue,"3,W,B,Sy,Fel",,,"1,194",364,https://en.wikipedia.org/wiki/Troutbeck_Tongue,NY4220006400,,,240,73,Far Eastern Fells,90,342200,506400,54.449691,-2.8929047
208,Sale Fell,"Hu,3,W,B,Sy,Fel",,,"1,178",359,https://en.wikipedia.org/wiki/Sale_Fell,NY1940029600,,,449,137,North Western Fells,89 90,319400,529600,54.655026,-3.2508122
209,High Rigg,"Ma,3,W,B,Sy,Fel",,,"1,171",357,https://en.wikipedia.org/wiki/High_RiggÊ[Naddle Fell],NY3080021900,,,620,189,Central Fells,90,330800,521900,54.587536,-3.0723287
210,Rannerdale Knotts,"3,W,B,Sy,Fel",,,"1,165",355,https://en.wikipedia.org/wiki/Rannerdale_Knotts,NY1670018200,,,217,66,North Western Fells,89,316700,518200,54.552164,-3.2894086
211,Loughrigg Fell,"Ma,3,W,B,Sy,Fel",,,"1,099",335,https://en.wikipedia.org/wiki/Loughrigg_Fell,NY3460005100,,,564,172,Central Fells,90,334600,505100,54.437087,-3.0098059
212,Black Fell,"Hu,3,W,B,Sy,Fel",,,"1,060",323,https://en.wikipedia.org/wiki/Black_Fell_(Lake_District),NY3400001500,,,413,126,Southern Fells,90,334000,501500,54.404661,-3.0182523
213,Holme Fell,"Ma,3,W,B,Sy,Fel",,,"1,040",317,https://en.wikipedia.org/wiki/Holme_Fell,NY3150000600,,,541,165,Southern Fells,90,331500,500600,54.396243,-3.0565504
214,Castle Crag,"2,W,Sy,Fel",,,951,290,https://en.wikipedia.org/wiki/Castle_Crag,NY2490015900,,,246,75,North Western Fells,89 90,324900,515900,54.532783,-3.162072
